08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
1.22813e+04,2.41466e+01,3.29801e+00,
1.22705e+04,2.41553e+01,3.30341e+00,
1.22621e+04,2.41404e+01,3.31017e+00,
1.22917e+04,2.41838e+01,3.32280e+00,
1.22716e+04,2.41427e+01,3.30997e+00,
1.23065e+04,2.42265e+01,3.31499e+00,
1.23011e+04,2.42004e+01,3.29662e+00,
1.22715e+04,2.41540e+01,3.29852e+00,
1.23010e+04,2.41995e+01,3.33221e+00,
1.23214e+04,2.42329e+01,3.30435e+00,
1.23063e+04,2.41980e+01,3.30536e+00,
1.22847e+04,2.41908e+01,3.30944e+00,
1.22999e+04,2.41995e+01,3.30516e+00,
1.22829e+04,2.41586e+01,3.30176e+00,
1.22676e+04,2.41503e+01,3.30627e+00,
1.22998e+04,2.42016e+01,3.31431e+00,
1.22683e+04,2.41446e+01,3.31233e+00,
1.22873e+04,2.41668e+01,3.30375e+00,
1.22960e+04,2.42052e+01,3.31738e+00,
1.22771e+04,2.41676e+01,3.32977e+00,
1.22826e+04,2.41924e+01,3.30135e+00,
1.22720e+04,2.41834e+01,3.30585e+00,
1.22710e+04,2.41452e+01,3.29239e+00,
1.22946e+04,2.41715e+01,3.30678e+00,
1.23014e+04,2.41813e+01,3.33203e+00,
1.22763e+04,2.41559e+01,3.31292e+00,
1.22831e+04,2.41366e+01,3.32849e+00,
1.23117e+04,2.42227e+01,3.31667e+00,
1.22653e+04,2.41465e+01,3.33308e+00,
1.23074e+04,2.42069e+01,3.30735e+00,
1.22843e+04,2.41626e+01,3.31136e+00,
1.22430e+04,2.41029e+01,3.27283e+00,
1.22611e+04,2.41103e+01,3.31404e+00,
1.22780e+04,2.41619e+01,3.29423e+00,
1.22431e+04,2.40415e+01,3.31301e+00,
1.22565e+04,2.41376e+01,3.30548e+00,
1.22573e+04,2.41327e+01,3.30409e+00,
1.22604e+04,2.40946e+01,3.30966e+00,
1.22708e+04,2.41517e+01,3.28244e+00,
1.22680e+04,2.41606e+01,3.29018e+00,
1.22259e+04,2.40854e+01,3.29736e+00,
1.22489e+04,2.41184e+01,3.28382e+00,
1.22341e+04,2.40686e+01,3.30100e+00,
1.22819e+04,2.41712e+01,3.32960e+00,
1.22709e+04,2.41298e+01,3.32387e+00,
1.22549e+04,2.41429e+01,3.30449e+00,
1.22603e+04,2.41352e+01,3.29259e+00,
1.22458e+04,2.40829e+01,3.30165e+00,
